Model,MAE,RMSE,R²
SARIMAX,2980596.8980260175,5804754.429695048,-0.2252519061901006
Moving Average,3027587.3252024786,5819816.737790911,-0.23161877866111236
Holt-Winters,3095653.531485914,5953445.04062889,-0.2888262743965102
Random Forest,11675769.336579725,12746813.618448667,-4.908278450880839
Linear Regression,13339315.187825223,14519863.52362291,-6.666246020289631
